# SNID:                      ZTF18aabstmw             
# SPECTRUM_ID:               1
# SPECTRUM_MJD:              58184.00
# SPECTRUM_TELESCOPE:        P60
# SPECTRUM_INSTRUMENT:       SEDM
# SPECTRUM_TEXPOSE:          1800.0  
# SPECTRUM_STAT_SNR:         -9.00   
# SPECTRUM_SYS_SNR:          200.00  
# SPECTRUM_VEXP:             1.534e-03
# SPECTRUM_NLAM:             208   
# SPECTRUM_INFILE:           ZTF18aabstmw_58184.00_SEDM.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    8062.00  1.03060e-16 -9.90000e+01  5.15300e-19
    8102.90  8.85770e-17 -9.90000e+01  4.42885e-19
    8144.20  7.30580e-17 -9.90000e+01  3.65290e-19
    8185.70  6.17160e-17 -9.90000e+01  3.08580e-19
    8227.50  4.78510e-17 -9.90000e+01  2.39255e-19
    8269.60  4.36450e-17 -9.90000e+01  2.18225e-19
    8311.90  3.58180e-17 -9.90000e+01  1.79090e-19
    8354.60  2.98920e-17 -9.90000e+01  1.49460e-19
    8397.50  1.91700e-17 -9.90000e+01  9.58500e-20
    8440.70  1.59040e-17 -9.90000e+01  7.95200e-20
    8484.20  2.87490e-17 -9.90000e+01  1.43745e-19
    8528.00  3.89440e-17 -9.90000e+01  1.94720e-19
    8572.10  5.48940e-17 -9.90000e+01  2.74470e-19
    8616.40  5.76300e-17 -9.90000e+01  2.88150e-19
    8661.10  6.84060e-17 -9.90000e+01  3.42030e-19
    8706.00  7.64040e-17 -9.90000e+01  3.82020e-19
    8751.30  7.81690e-17 -9.90000e+01  3.90845e-19
    8796.80  8.03050e-17 -9.90000e+01  4.01525e-19
    8842.60  7.78030e-17 -9.90000e+01  3.89015e-19
    8888.80  7.94010e-17 -9.90000e+01  3.97005e-19
    8935.20  9.20780e-17 -9.90000e+01  4.60390e-19
    8981.90  1.08040e-16 -9.90000e+01  5.40200e-19
    9028.90  1.13270e-16 -9.90000e+01  5.66350e-19
    9076.20  9.61850e-17 -9.90000e+01  4.80925e-19
    9123.90  6.97740e-17 -9.90000e+01  3.48870e-19
    9171.80  5.30670e-17 -9.90000e+01  2.65335e-19
# -------------------------------------- #
