# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               2
# SPECTRUM_MJD:              60709.04
# SPECTRUM_TELESCOPE:        LT
# SPECTRUM_INSTRUMENT:       SPRAT
# SPECTRUM_TEXPOSE:          1200.0  
# SPECTRUM_STAT_SNR:         1.90    
# SPECTRUM_SYS_SNR:          11.44   
# SPECTRUM_VEXP:             4.027e-03
# SPECTRUM_NLAM:             891   
# SPECTRUM_OBSERVERS:        Daniel Perley, Jacob Wise, K-Ryan Hinds, Aleksandra Bochenek, Zoe McGrath
# SPECTRUM_INFILE:           ZTF18aaaooqj_60709.04_SPRAT.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    5464.71  1.12827e+00  6.39390e-01  8.07769e-02
    5469.40  1.08595e+00  5.58910e-01  7.77243e-02
    5474.08  1.09720e+00  5.68590e-01  7.75762e-02
    5478.77  9.68960e-01  6.19010e-01  7.77185e-02
    5483.46  1.05192e+00  6.00900e-01  7.80826e-02
    5488.15  1.08428e+00  5.98610e-01  7.81445e-02
    5492.83  1.10059e+00  5.94700e-01  7.78217e-02
    5497.52  1.11107e+00  6.21820e-01  7.83464e-02
    5502.21  1.08390e+00  6.36920e-01  7.93097e-02
    5506.91  1.12277e+00  6.02770e-01  7.94899e-02
    5511.60  1.20474e+00  6.53820e-01  7.95686e-02
    5516.29  1.11368e+00  6.45350e-01  8.02460e-02
    5520.98  1.15542e+00  6.27190e-01  8.11003e-02
    5525.68  1.15714e+00  6.52190e-01  8.14006e-02
    5530.37  1.06181e+00  6.23120e-01  8.13880e-02
    5535.07  1.04223e+00  6.84770e-01  8.18697e-02
    5539.77  1.09494e+00  6.87520e-01  8.26797e-02
    5544.46  9.73270e-01  6.90800e-01  8.34729e-02
    5549.16  1.15151e+00  6.41830e-01  8.36290e-02
    5553.86  1.10605e+00  6.86380e-01  8.39111e-02
    5558.56  9.44150e-01  7.82680e-01  8.44857e-02
    5563.26  1.05740e+00  1.22451e+00  8.46772e-02
    5567.96  1.17544e+00  5.33871e+00  8.52004e-02
    5572.67  1.32763e+00  6.80219e+00  8.56542e-02
    5577.37  9.70590e-01  6.93407e+00  8.57644e-02
    5582.07  7.65020e-01  6.72553e+00  8.60503e-02
    5586.78  9.87260e-01  3.59141e+00  8.61907e-02
    5591.48  1.10554e+00  8.79370e-01  8.62793e-02
    5596.19  1.02307e+00  7.36540e-01  8.61746e-02
    5600.90  9.83750e-01  6.68810e-01  8.63866e-02
    5605.60  1.03660e+00  6.60570e-01  8.65055e-02
    5610.31  9.62020e-01  6.79090e-01  8.65302e-02
    5615.02  9.88190e-01  6.38260e-01  8.62464e-02
    5619.73  1.17253e+00  5.97890e-01  8.65341e-02
    5624.44  9.43960e-01  6.59070e-01  8.63898e-02
    5629.15  1.12820e+00  5.82880e-01  8.60860e-02
    5633.86  1.02296e+00  6.41580e-01  8.57498e-02
    5638.58  9.50270e-01  6.04520e-01  8.57588e-02
    5643.29  1.03425e+00  6.35610e-01  8.55786e-02
    5648.00  1.12516e+00  6.53370e-01  8.52811e-02
    5652.72  1.05917e+00  5.87110e-01  8.52008e-02
    5657.43  9.44330e-01  6.12880e-01  8.49433e-02
